Theme 2 — Ease and Difficulty of Use,,,
Subtheme,Case,Quote,DeepL Translation
2.1 Initial Learning Curve,CS3,"É só uma curva de aprendizado que sempre que você vai fazer algo novo, você tem que ter que estudar coisa antes. Mas não foi tão penoso, não foi difícil nem nada do tipo, não.","It's just a learning curve that whenever you're going to do something new, you have to study it first. But it wasn't that painful, it wasn't difficult or anything like that, no."
,CS4,"Se você comparar esse Canvas com outro Canva qualquer que não tem uma base formal por trás do panos, a curva de aprendizado inicial é um pouco mais íngreme. ","If you compare this Canvas with any other Canva that does not have a formal basis behind it, the initial learning curve is a little steeper. "
,CS4,"Eu acredito que se eu tivesse interagido com uma visão [sessão] do Canvas de cada vez, teria sido mais fácil. ","I believe that if I had interacted with one Canvas view [session] at a time, it would have been easier. "
,CS5,But in many cases I felt like we were looking at different sides of the same coin and it was not very clear where the division was between those sides. So that made things a bit more complicated for me. I found it counterintuitive.,
,CS5,Maybe the distinction between those kind of similar things is not as clear as I thought.,
,CS6,We we had a bit of a problem getting started like if what is the context then what are our stakeholders?,
2.2 Process Difficulties,CS3,"Agora, nessa última aqui eu me lembro de ter achado um pouco complicado de preencher as informações.","Now, with this last one, I remember finding it a little complicated to fill in the information."
,CS4,"A minha maior dificuldade aqui foi saber como escrever cada uma dessas notas. Eu acho que existe uma forma, é meio implícito nos guias e tudo mais que você deveria escrever as coisas de uma certa maneira para conseguir fazer a distanciação daquela categoria.","My biggest challenge here was figuring out how to write each of these notes. I think there's a way, it's kind of implied in the guides and everything else, that you should write things a certain way to be able to distance yourself from that category."
,CS4,"Em um primeiro momento sim, foi difícil saber onde colocar os post-its. ","At first, yes, it was difficult to know where to put the post-it notes. "
,CS4,"Então se eu começasse talvez com post-its brancos, com um stakeholder só por modelo e fosse nesse nível. Depois eu estaria mais confortável para poder dar um passo à frente e escolher como, na minha cultura do meu time, eu quero representar outras dimensões que não são codificadas. ","So, I would start with white post-it notes, with just one stakeholder as a model, and stay at that level. Then I would feel more comfortable taking a step forward and choosing how, in my team's culture, I want to represent other dimensions that are not codified. "
,CS4,Algumas incertezas por conta da similaridade de alguns conceitos.,Some uncertainties due to the similarity of certain concepts.
,CS4,"Os conceitos parecem tão próximos as vezes, que fica difícil de diferenciar. ",The concepts seem so similar at times that it is difficult to differentiate between them. 
,CS5,"And at that point, I felt like I'd kind of hit a point where I was maybe not getting enough out of it for the energy I was putting in.",
2.3 Perceived Simplicity,CS2,Eu achei que ele era fácil de usar. ,I found it easy to use. 
,CS3,"Todos esses assim não foram problemas, não. Até quando eu fui fazer, até assim eu escrevi, eu acho que eu não te mandei isso, mas eu coloquei entre parênteses assim, AI, isso é o que ajuda nesse caso, isso é o que atrapalha nesse caso. Então eu acho que isso aí não foi problema, não.","None of those were problems, no. Even when I went to do it, even when I wrote it, I don't think I sent it to you, but I put it in parentheses like this, AI, this is what helps in this case, this is what gets in the way in this case. So I don't think that was a problem, no."
,CS3,"As definições eu consegui entender, sim, os conceitos de Value Enabler, Risk Enabler, Reliever, todos esses assim não foram problemas, não.","I understood the definitions, yes, the concepts of Value Enabler, Risk Enabler, Reliever, all of those were not a problem, no."
,CS3,Essa daqui [stakeholder profile] e essa daqui [Solution Value & Risk Map] eu não tive tanta dificuldade.,I didn't have much trouble with this one [stakeholder profile] and this one [Solution Value & Risk Map].
,CS4,"Mais uma vez que a aprendizagem seja estabelecida, é muito fácil identificar [as categorias]. ","Once again, once learning has been established, it is very easy to identify [the categories]. "
,CS6,Once we got to going it was quite easy,
2.4 Suitability for Group Use,CS2,"Eu tive algumas reuniões, então eu sei o que é que eles pensam assim, conseguindo inserir isso aqui, mas eu acho que o ideal seria ter uma reunião. Com todos os stakeholders envolvidos para de fato definir, no mínimo, quais são os pontos que cada estratégia afeta. É, acho que idealmente ele deve ser usado em grupo, foi até uma coisa que eu acho que você comentou.","I've had a few meetings, so I know what they think about this, managing to insert it here, but I think the ideal would be to have a meeting. With all stakeholders involved to actually define, at a minimum, what points each strategy affects. Yes, I think ideally it should be used in a group, which is something I think you mentioned."
,CS3,"Eu acho que seria muito melhor conversar com eles. Infelizmente não para fazer com um grupo, seria um caso perfeito.","I think it would be much better to talk to them. Unfortunately, it wouldn't work with a group, but it would be perfect for an individual."
,CS5,"And I would also recommend that it's filled in by at least two people who are are or will be involved in the project, because then you can get that dialogue rolling and. People can maybe debates decisions if they have opposite perspectives and I think that's.",