Theme 7 — Usage Intentions,,,
Subtheme,Case,Quote,DeepL Translation
7.1 Conditional Use,CS2,Eu acho que eu usaria desde que eu tivesse num contexto em que você tem stakeholders muito diferentes envolvidos.,I think I would use it as long as I was in a context where you have very different stakeholders involved.
,CS3,"Eu escolheria uma coisa mais focada, mais que eu teria mais acesso aos recursos, porque eu fiz ele em ordem direitinho. Então, assim, no primeiro não tinha, não precisava tanta coisa tão concreta. Aí depois começou a precisar. Aí eu fiquei assim, caramba, aí, entendeu?","I would choose something more focused, something that would give me more access to resources, because I did it in the right order. So, in the first one, I didn't have it, I didn't need so many concrete things. Then I started to need them. So I was like, damn, you know?"
,CS6,Like I think the value is mainly in where you have situations with multiple or many stakeholders.,
,CS6,"Also when we're dealing with, let's say, just a part of the huge problem that we're trying to solve.",
7.2 Continued Adoption,CS3,"Então assim, eu seria alguém que participaria para discutir, mas eu não seria o cara que controlaria, que colocaria as peças lá, entendeu? ","So, I would be someone who would participate in the discussion, but I wouldn't be the guy who would control it, who would put the pieces together, you know? "
,CS3,"Para poder fazer as definições iniciais, é legal também. ","In order to make the initial settings, it's also cool. "
,CS3,"Mas eu pensei, quando você me mandou, a primeira coisa que eu pensei é, caramba, ter um negócio desse no site, ia ser legal, porque eu tenho um site que mostra o trabalho todo. E eu tenho que fazer isso muito assim, ser muito fácil de ser digerido pelas pessoas. ","But I thought, when you sent it to me, the first thing I thought was, wow, having something like this on the website would be cool, because I have a website that shows all my work. And I have to do it like this, make it very easy for people to digest. "
,CS4,Eu tenho que produzir um documento para acompanhar a publicação do modelo. No caso do documento que eu estou usando para referenciar é o artigo. Isso que para mim ajuda a fazer a motivação do artigo. Eu vou trazer coisas daqui [do Canvas] para as sessões do meu artigo. ,"I have to produce a document to accompany the publication of the model. In this case, the document I am using for reference is the article. This helps me to motivate the article. I will bring things from here [Canvas] to the sections of my article. "
,CS4,Certamente usaria o Canvas no futuro. ,I would definitely use Canvas in the future. 
,CS4,"Eu gosto do potencial do Canvas, especialmente quando eu tenho que lidar com pessoas da indústria. Porque muitas vezes eu vou lidar com pessoas na indústria que vão estar bem capacitadas para discutirem os termos de pelo menos uma das visões [Stakeholder, Solução, Recursos]. ","I like the potential of the Canvas, especially when I have to deal with people in the industry. Because I will often deal with people in the industry who will be well equipped to discuss the terms of at least one of the views [Stakeholder, Solution, Resources]. "
,CS6,"Yeah, it's definitely it's a long keep in my tool belt.",
7.3 Recommendations to Others,CS3,Eu recomendaria o canvas para o cara que é o responsável por tomar esse tipo de decisão. Essa parte é uma outra pessoa que faz dentro do time. ,I would recommend the canvas to the person who is responsible for making this type of decision. That part is done by someone else on the team. 
,CS3,"Mas assim, se ele não tivesse [outra ferramenta], eu com certeza eu falaria. Eu acho que vale a pena. ","But if he didn't have [another tool], I would definitely mention it. I think it's worth it. "
,CS4,Eu indicaria o Canvas. ,I would recommend the Canvas. 
,CS5,"I would recommend using it a bit more broadly, so maybe not thinking too much about the narrowed distinctions in the categories for a new project or maybe for a project that.",
,CS5,It would be useful if someone is having doubts and is thinking about changing course for one of the decisions made.,
,CS5,"For a project that has existed for a while and some decisions have been made, but people are having doubts about those decisions.",